,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🚶🏿,people,pedestrian type,[walking_tone5],,[],1f6b6_1f3ff,🚶🏿,,pedestrian tone 5,
🚷,symbols,no pedestrians,[no_pedestrians],,"[no, forbidden, pedestrian, prohibited, not, symbol]",1f6b7,🚷,,,
🚸,symbols,children crossing,[children_crossing],,"[crossing, pedestrian, symbol, traffic, child]",1f6b8,🚸,,,
🚹,symbols,mens symbol,[mens],,"[lavatory, restroom, wc, symbol, man]",1f6b9,🚹,,,
🚺,symbols,womens symbol,[womens],,"[lavatory, woman, wc, symbol, restroom]",1f6ba,🚺,,,
🚻,symbols,restroom,[restroom],,"[lavatory, wc, symbol, restroom]",1f6bb,🚻,,,
🚼,symbols,baby symbol,[baby_symbol],,"[baby, changing, symbol]",1f6bc,🚼,,,
🚽,objects,toilet,[toilet],,"[toilet, bathroom, object]",1f6bd,🚽,,,
🚾,symbols,water closet,[wc],,"[wc, closet, symbol, restroom, water, lavatory]",1f6be,🚾,,,
🚿,objects,shower,[shower],,"[shower, water, bathroom, object]",1f6bf,🚿,,,
🛀,activity,bath,[bath],,"[bathroom, diversity, tired, bath, bathtub, steam]",1f6c0,🛀,,,
🛀🏻,activity,bath type,[bath_tone1],,[],1f6c0_1f3fb,🛀🏻,,bath tone 1,
🛀🏼,activity,bath type,[bath_tone2],,[],1f6c0_1f3fc,🛀🏼,,bath tone 2,
🛀🏽,activity,bath type,[bath_tone3],,[],1f6c0_1f3fd,🛀🏽,,bath tone 3,
🛀🏾,activity,bath type,[bath_tone4],,[],1f6c0_1f3fe,🛀🏾,,bath tone 4,
🛀🏿,activity,bath type,[bath_tone5],,[],1f6c0_1f3ff,🛀🏿,,bath tone 5,
🛁,objects,bathtub,[bathtub],,"[bathroom, tired, object, bath, bathtub, steam]",1f6c1,🛁,,,
🛂,symbols,passport control,[passport_control],,"[control, symbol, passport]",1f6c2,🛂,,,
🛃,symbols,customs,[customs],,"[symbol, customs]",1f6c3,🛃,,,
🛄,symbols,baggage claim,[baggage_claim],,"[baggage, symbol, claim]",1f6c4,🛄,,,
🛅,symbols,left luggage,[left_luggage],,"[baggage, locker, luggage, symbol, left luggage]",1f6c5,🛅,,,
🛋,objects,couch and lamp,"[couch_and_lamp, couch]",1f6cb-fe0f,"[lamp, hotel, object, couch]",1f6cb,🛋,[:couch_and_lamp:],,
🛌,objects,sleeping accommodation,[sleeping_accommodation],,"[hotel, sleep, tired]",1f6cc,🛌,,,
🛍,objects,shopping bags,[shopping_bags],1f6cd-fe0f,"[object, shopping, hotel, bag, birthday, parties]",1f6cd,🛍,,,
🛎,objects,bellhop bell,"[bellhop_bell, bellhop]",1f6ce-fe0f,"[hotel, bellhop, object, bell]",1f6ce,🛎,[:bellhop_bell:],,
🛏,objects,bed,[bed],1f6cf-fe0f,"[hotel, sleep, tired, bed, object]",1f6cf,🛏,,,
🛐,symbols,place of worship,"[place_of_worship, worship_symbol]",,"[pray, religion, symbol, worship]",1f6d0,🛐,[:worship_symbol:],,
🛑,unicode9,octagonal sign,[octagonal_sign],,"[octagonal, stop]",1f6d1,🛑,[:stop_sign:],,
🛒,unicode9,shopping trolley,[shopping_cart],,"[trolley, shopping, cart]",1f6d2,🛒,[:shopping_trolley:],,
🛠,objects,hammer and wrench,"[hammer_and_wrench, tools]",1f6e0-fe0f,"[tool, object, hammer, wrench]",1f6e0,🛠,[:hammer_and_wrench:],,
🛡,objects,shield,[shield],1f6e1-fe0f,"[weapon, object, shield]",1f6e1,🛡,,,
🛢,objects,oil drum,"[oil, oil_drum]",1f6e2-fe0f,"[oil, drum, object]",1f6e2,🛢,[:oil_drum:],,
🛣,travel,motorway,[motorway],1f6e3-fe0f,"[travel, camp, vacation, motorway, highway, road]",1f6e3,🛣,,,
🛤,travel,railway track,"[railway_track, railroad_track]",1f6e4-fe0f,"[railway, train, travel, vacation]",1f6e4,🛤,[:railroad_track:],,
🛥,travel,motor boat,[motorboat],1f6e5-fe0f,"[transportation, travel, motorboat, boat, vehicle]",1f6e5,🛥,,motorboat,
🛩,travel,small airplane,"[airplane_small, small_airplane]",1f6e9-fe0f,"[fly, transportation, travel, vacation, plane, vehicle, airplane]",1f6e9,🛩,[:small_airplane:],,
🛫,travel,airplane departure,[airplane_departure],,"[fly, transportation, travel, departure, vacation, plane, departures, vehicle, airplane, check in]",1f6eb,🛫,,,
🛬,travel,airplane arriving,[airplane_arriving],,"[fly, transportation, travel, vacation, landing, plane, arrivals, vehicle, arriving, airplane]",1f6ec,🛬,,,
🛰,travel,satellite,[satellite_orbital],1f6f0-fe0f,"[satellite, vehicle, object, space]",1f6f0,🛰,,,
🛳,travel,passenger ship,"[cruise_ship, passenger_ship]",1f6f3-fe0f,"[passenger, transportation, travel, vacation, vehicle, ship, boat]",1f6f3,🛳,[:passenger_ship:],,
🛴,unicode9,scooter,[scooter],,"[scooter, kick]",1f6f4,🛴,,,
🛵,unicode9,motor scooter,[motor_scooter],,"[scooter, moped, motor]",1f6f5,🛵,[:motorbike:],,
🛶,unicode9,canoe,[canoe],,"[boat, canoe]",1f6f6,🛶,[:kayak:],,
🤐,people,zipper mouth face,"[zipper_mouth, zipper_mouth_face]",,"[zipper, smiley, mouth, mad, face]",1f910,🤐,[:zipper_mouth_face:],zipper-mouth face,
🤑,people,money mouth face,"[money_mouth, money_mouth_face]",,"[emotion, money, smiley, face, mouth, win, boys night]",1f911,🤑,[:money_mouth_face:],money-mouth face,
🤒,people,face with thermometer,"[thermometer_face, face_with_thermometer]",,"[emotion, ill, smiley, face, health, sick, thermometer]",1f912,🤒,[:face_with_thermometer:],,
🤓,people,nerd face,"[nerd, nerd_face]",,"[geek, smiley, nerd, glasses, face]",1f913,🤓,[:nerd_face:],,
🤔,people,thinking face,"[thinking, thinking_face]",,"[thinking, boys night, smiley, face]",1f914,🤔,[:thinking_face:],,
🤕,people,face with head bandage,"[head_bandage, face_with_head_bandage]",,"[emotion, face, smiley, hurt, health, bandage, sick, injury]",1f915,🤕,[:face_with_head_bandage:],face with head-bandage,
🤖,people,robot face,"[robot, robot_face]",,"[robot, monster, face]",1f916,🤖,[:robot_face:],,
🤗,people,hugging face,"[hugging_face, hugging]",,"[thank you, hug, smiley, hugging, face]",1f917,🤗,[:hugging_face:],,
🤘,people,sign of the horns,"[sign_of_the_horns, metal]",,"[body, diversity, rock on, horns, hand, parties, hi, finger, hands, boys night]",1f918,🤘,[:sign_of_the_horns:],,
🤘🏻,people,sign of the horns type,"[sign_of_the_horns_tone1, metal_tone1]",,[],1f918_1f3fb,🤘🏻,[:sign_of_the_horns_tone1:],sign of the horns tone 1,
🤘🏼,people,sign of the horns type,"[sign_of_the_horns_tone2, metal_tone2]",,[],1f918_1f3fc,🤘🏼,[:sign_of_the_horns_tone2:],sign of the horns tone 2,
🤘🏽,people,sign of the horns type,"[sign_of_the_horns_tone3, metal_tone3]",,[],1f918_1f3fd,🤘🏽,[:sign_of_the_horns_tone3:],sign of the horns tone 3,
🤘🏾,people,sign of the horns type,"[metal_tone4, sign_of_the_horns_tone4]",,[],1f918_1f3fe,🤘🏾,[:sign_of_the_horns_tone4:],sign of the horns tone 4,
🤘🏿,people,sign of the horns type,"[metal_tone5, sign_of_the_horns_tone5]",,[],1f918_1f3ff,🤘🏿,[:sign_of_the_horns_tone5:],sign of the horns tone 5,
🤙,unicode9,call me hand,[call_me],,"[call, hand]",1f919,🤙,[:call_me_hand:],,
🤙🏻,unicode9,call me hand type,[call_me_tone1],,[],1f919_1f3fb,🤙🏻,[:call_me_hand_tone1:],,
🤙🏼,unicode9,call me hand type,[call_me_tone2],,[],1f919_1f3fc,🤙🏼,[:call_me_hand_tone2:],,
🤙🏽,unicode9,call me hand type,[call_me_tone3],,[],1f919_1f3fd,🤙🏽,[:call_me_hand_tone3:],,
🤙🏾,unicode9,call me hand type,[call_me_tone4],,[],1f919_1f3fe,🤙🏾,[:call_me_hand_tone4:],,
🤙🏿,unicode9,call me hand type,[call_me_tone5],,[],1f919_1f3ff,🤙🏿,[:call_me_hand_tone5:],,
🤚,unicode9,raised back of hand,[raised_back_of_hand],,"[raised, backhand]",1f91a,🤚,[:back_of_hand:],,
🤚🏻,unicode9,raised back of hand type,[raised_back_of_hand_tone1],,[],1f91a_1f3fb,🤚🏻,[:back_of_hand_tone1:],,
🤚🏼,unicode9,raised back of hand type,[raised_back_of_hand_tone2],,[],1f91a_1f3fc,🤚🏼,[:back_of_hand_tone2:],,
🤚🏽,unicode9,raised back of hand type,[raised_back_of_hand_tone3],,[],1f91a_1f3fd,🤚🏽,[:back_of_hand_tone3:],,
🤚🏾,unicode9,raised back of hand type,[raised_back_of_hand_tone4],,[],1f91a_1f3fe,🤚🏾,[:back_of_hand_tone4:],,
🤚🏿,unicode9,raised back of hand type,[raised_back_of_hand_tone5],,[],1f91a_1f3ff,🤚🏿,[:back_of_hand_tone5:],,
🤛,unicode9,left facing fist,[left_facing_fist],,"[leftwards, fist]",1f91b,🤛,[:left_fist:],,
🤛🏻,unicode9,left facing fist type,[left_facing_fist_tone1],,[],1f91b_1f3fb,🤛🏻,[:left_fist_tone1:],,
🤛🏼,unicode9,left facing fist type,[left_facing_fist_tone2],,[],1f91b_1f3fc,🤛🏼,[:left_fist_tone2:],,
🤛🏽,unicode9,left facing fist type,[left_facing_fist_tone3],,[],1f91b_1f3fd,🤛🏽,[:left_fist_tone3:],,
🤛🏾,unicode9,left facing fist type,[left_facing_fist_tone4],,[],1f91b_1f3fe,🤛🏾,[:left_fist_tone4:],,
🤛🏿,unicode9,left facing fist type,[left_facing_fist_tone5],,[],1f91b_1f3ff,🤛🏿,[:left_fist_tone5:],,
🤜,unicode9,right facing fist,[right_facing_fist],,"[rightwards, fist]",1f91c,🤜,[:right_fist:],,
🤜🏻,unicode9,right facing fist type,[right_facing_fist_tone1],,[],1f91c_1f3fb,🤜🏻,[:right_fist_tone1:],,
🤜🏼,unicode9,right facing fist type,[right_facing_fist_tone2],,[],1f91c_1f3fc,🤜🏼,[:right_fist_tone2:],,
🤜🏽,unicode9,right facing fist type,[right_facing_fist_tone3],,[],1f91c_1f3fd,🤜🏽,[:right_fist_tone3:],,
🤜🏾,unicode9,right facing fist type,[right_facing_fist_tone4],,[],1f91c_1f3fe,🤜🏾,[:right_fist_tone4:],,
🤜🏿,unicode9,right facing fist type,[right_facing_fist_tone5],,[],1f91c_1f3ff,🤜🏿,[:right_fist_tone5:],,
🤝,unicode9,handshake,[handshake],,"[handshake, shake, meeting, agreement, hand]",1f91d,🤝,[:shaking_hands:],,
🤝🏻,unicode9,handshake type,[handshake_tone1],,[],1f91d_1f3fb,🤝🏻,[:shaking_hands_tone1:],,
🤝🏼,unicode9,handshake type,[handshake_tone2],,[],1f91d_1f3fc,🤝🏼,[:shaking_hands_tone2:],,
🤝🏽,unicode9,handshake type,[handshake_tone3],,[],1f91d_1f3fd,🤝🏽,[:shaking_hands_tone3:],,
🤝🏾,unicode9,handshake type,[handshake_tone4],,[],1f91d_1f3fe,🤝🏾,[:shaking_hands_tone4:],,
🤝🏿,unicode9,handshake type,[handshake_tone5],,[],1f91d_1f3ff,🤝🏿,[:shaking_hands_tone5:],,
🤞,unicode9,hand with index and middle fingers crossed,[fingers_crossed],,"[luck, hand, cross, finger]",1f91e,🤞,[:hand_with_index_and_middle_finger_crossed:],,
🤞🏻,unicode9,hand with index and middle fingers crossed type,[fingers_crossed_tone1],,[],1f91e_1f3fb,🤞🏻,[:hand_with_index_and_middle_fingers_crossed_tone1:],,
🤞🏼,unicode9,hand with index and middle fingers crossed type,[fingers_crossed_tone2],,[],1f91e_1f3fc,🤞🏼,[:hand_with_index_and_middle_fingers_crossed_tone2:],,
🤞🏽,unicode9,hand with index and middle fingers crossed type,[fingers_crossed_tone3],,[],1f91e_1f3fd,🤞🏽,[:hand_with_index_and_middle_fingers_crossed_tone3:],,
🤞🏾,unicode9,hand with index and middle fingers crossed type,[fingers_crossed_tone4],,[],1f91e_1f3fe,🤞🏾,[:hand_with_index_and_middle_fingers_crossed_tone4:],,
🤞🏿,unicode9,hand with index and middle fingers crossed type,[fingers_crossed_tone5],,[],1f91e_1f3ff,🤞🏿,[:hand_with_index_and_middle_fingers_crossed_tone5:],,
🤠,unicode9,face with cowboy hat,[cowboy],,"[cowgirl, face, hat, cowboy]",1f920,🤠,[:face_with_cowboy_hat:],,
🤡,unicode9,clown face,[clown],,"[clown, face]",1f921,🤡,[:clown_face:],,
🤢,unicode9,nauseated face,[nauseated_face],,"[vomit, nauseated, face]",1f922,🤢,[:sick:],,
🤣,unicode9,rolling on the floor laughing,[rofl],,"[floor, lol, rofl, laugh, rolling, face]",1f923,🤣,[:rolling on the floor laughing:],,
🤤,unicode9,drooling face,[drooling_face],,"[drooling, face]",1f924,🤤,[:drool:],,
🤥,unicode9,lying face,[lying_face],,"[lie, pinocchio, face]",1f925,🤥,[:liar:],,
🤦,unicode9,face palm,[face_palm],,"[face, palm, disbelief, exasperation]",1f926,🤦,,,
🤦🏻,unicode9,face palm type,[face_palm_tone1],,[],1f926_1f3fb,🤦🏻,,,
🤦🏼,unicode9,face palm type,[face_palm_tone2],,[],1f926_1f3fc,🤦🏼,,,
🤦🏽,unicode9,face palm type,[face_palm_tone3],,[],1f926_1f3fd,🤦🏽,,,
🤦🏾,unicode9,face palm type,[face_palm_tone4],,[],1f926_1f3fe,🤦🏾,,,
🤦🏿,unicode9,face palm type,[face_palm_tone5],,[],1f926_1f3ff,🤦🏿,,,
🤧,unicode9,sneezing face,[sneezing_face],,"[gesundheit, sneeze, face]",1f927,🤧,[:sneeze:],,
🤰,unicode9,pregnant woman,[pregnant_woman],,"[woman, pregnant]",1f930,🤰,[:expecting_woman:],,
🤰🏻,unicode9,pregnant woman type,[pregnant_woman_tone1],,[],1f930_1f3fb,🤰🏻,[:expecting_woman_tone1:],,
🤰🏼,unicode9,pregnant woman type,[pregnant_woman_tone2],,[],1f930_1f3fc,🤰🏼,[:expecting_woman_tone2:],,
🤰🏽,unicode9,pregnant woman type,[pregnant_woman_tone3],,[],1f930_1f3fd,🤰🏽,[:expecting_woman_tone3:],,
🤰🏾,unicode9,pregnant woman type,[pregnant_woman_tone4],,[],1f930_1f3fe,🤰🏾,[:expecting_woman_tone4:],,
🤰🏿,unicode9,pregnant woman type,[pregnant_woman_tone5],,[],1f930_1f3ff,🤰🏿,[:expecting_woman_tone5:],,
🤳,unicode9,selfie,[selfie],,"[phone, selfie, camera]",1f933,🤳,,,
🤳🏻,unicode9,selfie type,[selfie_tone1],,[],1f933_1f3fb,🤳🏻,,,
🤳🏼,unicode9,selfie type,[selfie_tone2],,[],1f933_1f3fc,🤳🏼,,,
🤳🏽,unicode9,selfie type,[selfie_tone3],,[],1f933_1f3fd,🤳🏽,,,
🤳🏾,unicode9,selfie type,[selfie_tone4],,[],1f933_1f3fe,🤳🏾,,,
🤳🏿,unicode9,selfie type,[selfie_tone5],,[],1f933_1f3ff,🤳🏿,,,
🤴,unicode9,prince,[prince],,[prince],1f934,🤴,,,
🤴🏻,unicode9,prince type,[prince_tone1],,[],1f934_1f3fb,🤴🏻,,,
🤴🏼,unicode9,prince type,[prince_tone2],,[],1f934_1f3fc,🤴🏼,,,
🤴🏽,unicode9,prince type,[prince_tone3],,[],1f934_1f3fd,🤴🏽,,,
🤴🏾,unicode9,prince type,[prince_tone4],,[],1f934_1f3fe,🤴🏾,,,
🤴🏿,unicode9,prince type,[prince_tone5],,[],1f934_1f3ff,🤴🏿,,,
🤵,unicode9,man in tuxedo,[man_in_tuxedo],,"[tuxedo, groom, man]",1f935,🤵,,,
🤵🏻,unicode9,man in tuxedo type,[man_in_tuxedo_tone1],,[],1f935_1f3fb,🤵🏻,[:tuxedo_tone1:],,
🤵🏼,unicode9,man in tuxedo type,[man_in_tuxedo_tone2],,[],1f935_1f3fc,🤵🏼,[:tuxedo_tone2:],,
🤵🏽,unicode9,man in tuxedo type,[man_in_tuxedo_tone3],,[],1f935_1f3fd,🤵🏽,[:tuxedo_tone3:],,
🤵🏾,unicode9,man in tuxedo type,[man_in_tuxedo_tone4],,[],1f935_1f3fe,🤵🏾,[:tuxedo_tone4:],,
🤵🏿,unicode9,man in tuxedo type,[man_in_tuxedo_tone5],,[],1f935_1f3ff,🤵🏿,[:tuxedo_tone5:],,
🤶,unicode9,mother christmas,[mother_christmas],,"[mrs claus, christmas, mother]",1f936,🤶,[:mrs_clause:],,
🤶🏻,unicode9,mother christmas type,[mrs_clause_tone1],,[],1f936_1f3fb,🤶🏻,[:mother_christmas_tone1:],,
🤶🏼,unicode9,mother christmas type,[mrs_clause_tone2],,[],1f936_1f3fc,🤶🏼,[:mother_christmas_tone2:],,
🤶🏽,unicode9,mother christmas type,[mrs_clause_tone3],,[],1f936_1f3fd,🤶🏽,[:mother_christmas_tone3:],,
🤶🏾,unicode9,mother christmas type,[mrs_clause_tone4],,[],1f936_1f3fe,🤶🏾,[:mother_christmas_tone4:],,
🤶🏿,unicode9,mother christmas type,[mrs_clause_tone5],,[],1f936_1f3ff,🤶🏿,[:mother_christmas_tone5:],,
🤷,unicode9,shrug,[shrug],,"[shrug, doubt, indifference, ignorance]",1f937,🤷,,,
🤷🏻,unicode9,shrug type,[shrug_tone1],,[],1f937_1f3fb,🤷🏻,,,
🤷🏼,unicode9,shrug type,[shrug_tone2],,[],1f937_1f3fc,🤷🏼,,,
🤷🏽,unicode9,shrug type,[shrug_tone3],,[],1f937_1f3fd,🤷🏽,,,
🤷🏾,unicode9,shrug type,[shrug_tone4],,[],1f937_1f3fe,🤷🏾,,,
🤷🏿,unicode9,shrug type,[shrug_tone5],,[],1f937_1f3ff,🤷🏿,,,
🤸,unicode9,person doing cartwheel,[cartwheel],,"[gymnastics, cartwheel]",1f938,🤸,[:person_doing_cartwheel:],,
🤸🏻,unicode9,person doing cartwheel type,[cartwheel_tone1],,[],1f938_1f3fb,🤸🏻,[:person_doing_cartwheel_tone1:],,
🤸🏼,unicode9,person doing cartwheel type,[cartwheel_tone2],,[],1f938_1f3fc,🤸🏼,[:person_doing_cartwheel_tone2:],,
🤸🏽,unicode9,person doing cartwheel type,[cartwheel_tone3],,[],1f938_1f3fd,🤸🏽,[:person_doing_cartwheel_tone3:],,
🤸🏾,unicode9,person doing cartwheel type,[cartwheel_tone4],,[],1f938_1f3fe,🤸🏾,[:person_doing_cartwheel_tone4:],,
🤸🏿,unicode9,person doing cartwheel type,[cartwheel_tone5],,[],1f938_1f3ff,🤸🏿,[:person_doing_cartwheel_tone5:],,
🤹,unicode9,juggling,[juggling],,"[skill, juggle, balance, multitask]",1f939,🤹,[:juggler:],,
🤹🏻,unicode9,juggling type,[juggling_tone1],,[],1f939_1f3fb,🤹🏻,[:juggler_tone1:],,
🤹🏼,unicode9,juggling type,[juggling_tone2],,[],1f939_1f3fc,🤹🏼,[:juggler_tone2:],,
🤹🏽,unicode9,juggling type,[juggling_tone3],,[],1f939_1f3fd,🤹🏽,[:juggler_tone3:],,
🤹🏾,unicode9,juggling type,[juggling_tone4],,[],1f939_1f3fe,🤹🏾,[:juggler_tone4:],,
🤹🏿,unicode9,juggling type,[juggling_tone5],,[],1f939_1f3ff,🤹🏿,[:juggler_tone5:],,
🤺,unicode9,fencer,[fencer],,"[fencing, fencer, sword]",1f93a,🤺,[:fencing:],,
🤼,unicode9,wrestlers,[wrestlers],,"[wrestle, wrestler]",1f93c,🤼,[:wrestling:],,
🤼🏻,unicode9,wrestlers type,[wrestlers_tone1],,[],1f93c_1f3fb,🤼🏻,[:wrestling_tone1:],,
🤼🏼,unicode9,wrestlers type,[wrestlers_tone2],,[],1f93c_1f3fc,🤼🏼,[:wrestling_tone2:],,
🤼🏽,unicode9,wrestlers type,[wrestlers_tone3],,[],1f93c_1f3fd,🤼🏽,[:wrestling_tone3:],,
🤼🏾,unicode9,wrestlers type,[wrestlers_tone4],,[],1f93c_1f3fe,🤼🏾,[:wrestling_tone4:],,
🤼🏿,unicode9,wrestlers type,[wrestlers_tone5],,[],1f93c_1f3ff,🤼🏿,[:wrestling_tone5:],,
🤽,unicode9,water polo,[water_polo],,"[polo, water]",1f93d,🤽,,,
🤽🏻,unicode9,water polo type,[water_polo_tone1],,[],1f93d_1f3fb,🤽🏻,,,
🤽🏼,unicode9,water polo type,[water_polo_tone2],,[],1f93d_1f3fc,🤽🏼,,,
🤽🏽,unicode9,water polo type,[water_polo_tone3],,[],1f93d_1f3fd,🤽🏽,,,
🤽🏾,unicode9,water polo type,[water_polo_tone4],,[],1f93d_1f3fe,🤽🏾,,,
🤽🏿,unicode9,water polo type,[water_polo_tone5],,[],1f93d_1f3ff,🤽🏿,,,
🤾,unicode9,handball,[handball],,"[handball, ball]",1f93e,🤾,,,
🤾🏻,unicode9,handball type,[handball_tone1],,[],1f93e_1f3fb,🤾🏻,,,
🤾🏼,unicode9,handball type,[handball_tone2],,[],1f93e_1f3fc,🤾🏼,,,
🤾🏽,unicode9,handball type,[handball_tone3],,[],1f93e_1f3fd,🤾🏽,,,
🤾🏾,unicode9,handball type,[handball_tone4],,[],1f93e_1f3fe,🤾🏾,,,
